<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05.10.2020,15:32:00,108049,115297,108049,111339,83
05.10.2020,15:33:00,112964,115278,108009,110336,34
05.10.2020,15:34:00,115167,115213,108100,115205,19
05.10.2020,15:35:00,112120,115107,107949,114351,71
05.10.2020,15:36:00,111288,114929,108214,112703,44
05.10.2020,15:37:00,108354,115299,107957,109512,38
05.10.2020,15:38:00,111740,115255,108199,114729,16
05.10.2020,15:39:00,114292,115258,107922,111268,55
05.10.2020,15:40:00,110756,115265,108117,114254,77
05.10.2020,15:41:00,111382,115196,108087,111600,66
05.10.2020,15:42:00,115247,115247,108010,112399,41
05.10.2020,15:43:00,112887,115166,108142,112541,56
05.10.2020,15:44:00,110164,115299,108431,110491,37
05.10.2020,15:45:00,112741,115121,107972,112229,77
05.10.2020,15:46:00,110207,115283,107934,111867,60
05.10.2020,15:47:00,110799,115254,107919,114615,29
05.10.2020,15:48:00,109879,115294,107961,110144,88
05.10.2020,15:49:00,111638,115276,107937,111739,27
05.10.2020,15:50:00,111541,115260,107917,113960,85
05.10.2020,15:51:00,113913,115246,107945,115128,14
05.10.2020,15:52:00,113909,115106,108079,109921,5
05.10.2020,15:53:00,113685,115280,107908,113314,69
05.10.2020,15:54:00,111670,115159,107908,108196,27
05.10.2020,15:55:00,109751,115243,107951,114008,90
05.10.2020,15:56:00,110480,115260,107965,110760,98
05.10.2020,15:57:00,114588,115289,108098,109407,19
05.10.2020,15:58:00,111819,114986,107918,109741,86
05.10.2020,15:59:00,115292,115292,107973,113663,54
05.10.2020,16:00:00,108800,115292,108375,114514,97
05.10.2020,16:01:00,110761,115206,108089,109261,7
05.10.2020,16:02:00,112727,115172,108043,108043,22
05.10.2020,16:03:00,108407,115257,108042,113793,48
05.10.2020,16:04:00,114013,115252,107950,109875,89
05.10.2020,16:05:00,109241,114833,108010,111268,81
05.10.2020,16:06:00,112054,114534,108110,114534,48
05.10.2020,16:07:00,112078,115051,107988,113841,82
05.10.2020,16:08:00,114884,115095,108064,111966,91
05.10.2020,16:09:00,112911,115149,108008,113311,59
05.10.2020,16:10:00,112476,115286,107954,113410,1
05.10.2020,16:11:00,114866,115263,108019,109951,76
05.10.2020,16:12:00,108543,115279,108028,108575,86
05.10.2020,16:13:00,113296,114876,108025,114428,11
05.10.2020,16:14:00,113983,115242,108013,110846,31
05.10.2020,16:15:00,114150,115157,107941,111506,5
05.10.2020,16:16:00,108832,114973,107945,108928,1
05.10.2020,16:17:00,108400,115170,107920,109784,93
05.10.2020,16:18:00,112856,115250,108015,111659,65
05.10.2020,16:19:00,114051,115285,108017,112637,27
05.10.2020,16:20:00,108119,115278,107950,113878,41
05.10.2020,16:21:00,112507,115287,108011,111884,2
05.10.2020,16:22:00,114986,115180,107916,115053,91
05.10.2020,16:23:00,109012,114880,107981,109455,78
05.10.2020,16:24:00,115004,115275,107928,110532,91
05.10.2020,16:25:00,110536,115258,108011,109699,57
05.10.2020,16:26:00,110882,115274,108174,115186,54
05.10.2020,16:27:00,108187,115181,107900,115181,54
05.10.2020,16:28:00,112470,115177,108041,108561,64
05.10.2020,16:29:00,108409,115023,107931,108141,62
05.10.2020,16:30:00,112633,115221,107921,111017,9
05.10.2020,16:31:00,108482,115144,107932,111248,62
05.10.2020,16:32:00,109023,115289,107920,112075,22
05.10.2020,16:33:00,112971,115268,108372,108467,63
05.10.2020,16:34:00,114692,115187,108032,110262,54
05.10.2020,16:35:00,114338,114945,107987,113126,52
05.10.2020,16:36:00,109977,115217,108446,110223,1
05.10.2020,16:37:00,115076,115100,108012,108330,62
05.10.2020,16:38:00,109219,115249,108000,112593,81
05.10.2020,16:39:00,111733,115059,108065,108658,85
05.10.2020,16:40:00,113939,115162,107919,110362,77
05.10.2020,16:41:00,113608,115173,108011,113716,78
05.10.2020,16:42:00,110353,115213,108148,113887,44
05.10.2020,16:43:00,115102,115271,107971,112987,72
05.10.2020,16:44:00,108968,115254,108027,108783,68
05.10.2020,16:45:00,109301,115264,107949,111051,23
05.10.2020,16:46:00,110325,115049,107963,109568,67
05.10.2020,16:47:00,108620,115275,107923,113440,6
05.10.2020,16:48:00,111768,115291,108064,109558,55
05.10.2020,16:49:00,110947,115247,107914,108987,78
05.10.2020,16:50:00,112861,115254,107971,110303,75
05.10.2020,16:51:00,108147,115265,107943,114764,6
05.10.2020,16:52:00,110859,115125,107973,114944,32
05.10.2020,16:53:00,109779,115249,107919,109742,96
05.10.2020,16:54:00,109897,115017,107966,115017,50
05.10.2020,16:55:00,110161,115046,107979,113290,13
05.10.2020,16:56:00,112931,115242,108059,111056,40
05.10.2020,16:57:00,113039,115191,108018,114943,26
05.10.2020,16:58:00,113545,115219,108003,114993,13
05.10.2020,16:59:00,108189,115132,107951,113675,35
05.10.2020,17:00:00,111057,115225,107927,111917,6
05.10.2020,17:01:00,112762,115181,108198,110044,7
05.10.2020,17:02:00,114731,115246,107984,112064,71
05.10.2020,17:03:00,108036,115288,107973,115130,23
05.10.2020,17:04:00,111958,115017,108034,111290,22
05.10.2020,17:05:00,111256,115219,107913,110698,14
05.10.2020,17:06:00,109381,115249,107979,115108,59
05.10.2020,17:07:00,112803,115204,107934,111140,71
05.10.2020,17:08:00,109903,115249,108022,108655,65
05.10.2020,17:10:00,111903,115279,108121,110083,34
05.10.2020,17:11:00,114333,115198,108526,110900,54
05.10.2020,17:12:00,113552,115247,107908,111972,2
05.10.2020,17:13:00,108167,115247,108140,109413,80
05.10.2020,17:14:00,108028,115276,107931,113577,82
05.10.2020,17:15:00,111208,115286,107918,112380,10
05.10.2020,17:16:00,108790,115178,108157,113745,91
05.10.2020,17:17:00,108683,115157,107916,114222,76
05.10.2020,17:18:00,111227,115178,107931,112529,22
05.10.2020,17:19:00,114066,115129,108148,113444,3
05.10.2020,17:20:00,109264,115148,107982,110438,20
05.10.2020,17:21:00,113569,115268,107912,107912,77
05.10.2020,17:22:00,115081,115230,107947,110355,6
05.10.2020,17:23:00,113794,115189,108052,114647,19
05.10.2020,17:24:00,113010,115292,108052,113091,35
05.10.2020,17:25:00,111551,115279,108091,114592,18
05.10.2020,17:26:00,111160,115153,108053,109552,46
05.10.2020,17:27:00,111669,115237,107977,108332,32
05.10.2020,17:28:00,110328,115204,107960,112920,93
05.10.2020,17:29:00,111922,115264,107964,108214,8
05.10.2020,17:30:00,109848,115181,107921,114922,21
05.10.2020,17:31:00,108039,115249,108039,112550,92
05.10.2020,17:32:00,110640,115163,107909,115163,74
05.10.2020,17:33:00,109820,114840,108105,112384,2
05.10.2020,17:34:00,110419,115231,107911,113663,11
05.10.2020,17:35:00,110416,115235,107915,109275,68
05.10.2020,17:36:00,109155,115299,107925,113451,59
05.10.2020,17:37:00,112828,115187,108047,113210,6
05.10.2020,17:38:00,108151,115225,108151,112358,56
05.10.2020,17:39:00,113306,115259,108500,112068,8
05.10.2020,17:40:00,109276,115085,107970,109634,63
05.10.2020,17:41:00,109909,115215,107991,112380,23
05.10.2020,17:42:00,110172,115234,107923,110509,4
05.10.2020,17:43:00,110007,114988,107978,114357,21
05.10.2020,17:44:00,111225,115153,108014,114274,49
05.10.2020,17:45:00,109119,115278,108003,109202,57
05.10.2020,17:46:00,112539,115259,108123,109218,24
05.10.2020,17:47:00,112751,115278,108099,109321,76
05.10.2020,17:48:00,108303,115258,107926,111967,22
05.10.2020,17:49:00,114877,114996,107932,108114,62
05.10.2020,17:50:00,114821,115190,108169,109223,39
05.10.2020,17:51:00,111783,115283,107918,108271,86
05.10.2020,17:52:00,109676,115186,107913,109646,48
05.10.2020,17:53:00,114349,115262,107991,108055,67
05.10.2020,17:54:00,111398,115254,107969,111731,1
05.10.2020,17:55:00,113857,115258,108074,108387,30
05.10.2020,17:56:00,109164,115104,108063,110464,67
05.10.2020,17:57:00,112659,115173,107973,108253,24
05.10.2020,17:58:00,109674,115200,108113,114035,83
05.10.2020,17:59:00,109147,115251,108097,112889,88
05.10.2020,18:00:00,111829,114890,107960,108289,33
05.10.2020,18:01:00,109600,115208,107944,108802,94
05.10.2020,18:02:00,114619,115083,108003,110151,30
05.10.2020,18:03:00,110581,115291,107925,108020,78
05.10.2020,18:04:00,108566,115285,107907,111535,14
05.10.2020,18:05:00,112897,115287,108040,110497,91
05.10.2020,18:06:00,112430,115231,108085,108246,13
05.10.2020,18:07:00,108211,115272,108211,109229,77
05.10.2020,18:08:00,113707,114998,107945,109131,72
05.10.2020,18:10:00,112722,115030,108010,114370,58
05.10.2020,18:11:00,111588,115197,107953,114598,42
05.10.2020,18:12:00,113142,115281,108044,109633,46
05.10.2020,18:13:00,112975,115196,108266,115079,15
05.10.2020,18:14:00,112633,115133,108064,109086,34
05.10.2020,18:15:00,108247,115048,108070,111470,79
05.10.2020,18:16:00,108530,115093,107972,112794,89
05.10.2020,18:17:00,108532,114883,108031,109859,12
05.10.2020,18:18:00,110607,115226,108183,114913,72
05.10.2020,18:19:00,113817,115219,107929,108908,32
05.10.2020,18:20:00,110831,115261,107910,114751,76
05.10.2020,18:22:00,111473,115217,107921,112894,49
05.10.2020,18:23:00,112047,115264,108075,110283,28
05.10.2020,18:24:00,112319,115254,108000,115167,88
05.10.2020,18:25:00,112344,115248,108198,108257,40
05.10.2020,18:26:00,110774,115249,107922,111187,81
05.10.2020,18:27:00,111738,115086,107904,107978,90
05.10.2020,18:28:00,109493,115260,108035,109435,3
05.10.2020,18:29:00,113665,115061,107941,114305,59
05.10.2020,18:30:00,109727,115281,107938,112047,41
05.10.2020,18:31:00,111132,115259,107924,111029,4
05.10.2020,18:32:00,114871,115220,108061,109015,52
05.10.2020,18:33:00,109811,115291,107943,108144,73
05.10.2020,18:34:00,114402,114919,107978,114582,23
05.10.2020,18:35:00,108039,114867,107914,113830,51
05.10.2020,18:36:00,112357,115269,108031,111821,33
05.10.2020,18:37:00,107921,114941,107921,113713,35
05.10.2020,18:38:00,111314,115224,108041,113281,12
05.10.2020,18:39:00,113395,115147,107924,112367,92
05.10.2020,18:40:00,111007,115138,107973,112166,96
05.10.2020,18:41:00,108113,115226,107916,109589,25
05.10.2020,18:42:00,111100,115201,108093,113472,25
05.10.2020,18:43:00,114745,115230,107936,108960,67
05.10.2020,18:44:00,111637,115183,107982,109601,41
05.10.2020,18:45:00,109416,115288,107965,108890,30
05.10.2020,18:46:00,113783,115203,108150,113977,26
05.10.2020,18:47:00,109930,115252,107981,109781,23
05.10.2020,18:48:00,109863,115260,107918,114791,90
05.10.2020,18:49:00,111300,115270,107989,111618,64
05.10.2020,18:50:00,109974,115276,108124,108753,59
05.10.2020,18:51:00,109191,115208,108562,110196,82
05.10.2020,18:52:00,110295,115028,108029,114010,60
05.10.2020,18:53:00,109810,114921,107910,109126,6
05.10.2020,18:54:00,107935,115262,107935,109313,24
05.10.2020,18:55:00,108406,115158,107922,110309,45
05.10.2020,18:56:00,108217,115219,107950,112134,35
05.10.2020,18:57:00,108811,114959,108082,114341,31
05.10.2020,18:58:00,108139,115184,108015,113455,97
05.10.2020,18:59:00,109242,115158,107993,113989,83
05.10.2020,19:00:00,111590,115218,108074,111015,28
05.10.2020,19:01:00,109549,114623,107946,111698,85
05.10.2020,19:02:00,112538,115177,108041,110932,75
05.10.2020,19:03:00,112025,115275,107916,114652,95
05.10.2020,19:04:00,113384,115042,107990,114212,75
05.10.2020,19:05:00,108483,114771,107995,111130,56
05.10.2020,19:06:00,112992,115294,107901,113746,73
05.10.2020,19:07:00,108875,115224,107983,111589,54
05.10.2020,19:08:00,111717,115241,108092,110605,64
05.10.2020,19:09:00,112741,115099,107907,108275,90
05.10.2020,19:10:00,111348,114857,107951,112146,61
05.10.2020,19:11:00,115220,115279,107912,109942,87
05.10.2020,19:12:00,109627,114744,107911,109148,82
05.10.2020,19:13:00,109755,115289,108015,115182,51
05.10.2020,19:14:00,112027,115288,107977,114806,2
05.10.2020,19:15:00,111537,115282,108013,108013,57
05.10.2020,19:16:00,113399,115155,108039,111357,64
05.10.2020,19:17:00,111991,115027,108109,114845,30
05.10.2020,19:18:00,113726,115175,107989,112970,76
05.10.2020,19:19:00,109001,115267,107935,108367,16
05.10.2020,19:20:00,114543,115096,107941,112375,83
05.10.2020,19:21:00,112296,115213,107966,110159,95
05.10.2020,19:22:00,109017,115244,108108,109480,58
05.10.2020,19:23:00,113607,115068,107930,110278,22
05.10.2020,19:24:00,112383,115226,107914,114444,70
05.10.2020,19:25:00,113254,115289,108046,114713,67
05.10.2020,19:26:00,114950,115268,108094,113318,82
05.10.2020,19:27:00,108055,115234,108055,114706,13
05.10.2020,19:28:00,108277,115294,107942,113704,6
05.10.2020,19:29:00,109249,115168,107983,113142,37
05.10.2020,19:30:00,113091,115238,108439,112619,10
05.10.2020,19:32:00,112473,115242,107996,111056,2
05.10.2020,19:33:00,113067,115092,108017,112408,57
05.10.2020,19:34:00,112504,114863,107925,113464,55
05.10.2020,19:35:00,109105,115296,107920,108744,5
05.10.2020,19:36:00,112700,115251,108028,114582,22
05.10.2020,19:37:00,113231,115255,108003,114921,76
05.10.2020,19:38:00,111350,115289,108098,109673,16
05.10.2020,19:39:00,110449,115173,107932,110021,45
05.10.2020,19:40:00,115215,115276,107907,107907,31
05.10.2020,19:41:00,112833,115221,108003,115123,58
05.10.2020,19:42:00,112031,115110,107912,111691,88
05.10.2020,19:43:00,108677,115242,107965,109947,25
05.10.2020,19:44:00,112423,114986,108124,110629,68
05.10.2020,19:45:00,110570,115254,107908,110388,47
05.10.2020,19:46:00,114692,115103,107906,108707,39
05.10.2020,19:47:00,112170,115194,107982,111257,50
05.10.2020,19:48:00,108498,115250,107901,108347,57
05.10.2020,19:49:00,112988,115232,108353,108750,30
05.10.2020,19:50:00,115210,115210,107912,110485,87
05.10.2020,19:51:00,115220,115255,107954,108679,26
05.10.2020,19:52:00,114047,115028,107973,111470,72
05.10.2020,19:53:00,113805,115106,107944,107944,96
05.10.2020,19:54:00,113529,115150,107979,108155,4
05.10.2020,19:55:00,111191,115236,108264,111416,78
05.10.2020,19:56:00,111158,115265,107926,110167,13
05.10.2020,19:57:00,113692,115143,107930,108325,69
05.10.2020,19:58:00,114187,115124,107978,114386,30
05.10.2020,19:59:00,108025,115232,108025,113873,68
05.10.2020,20:00:00,110918,115206,107988,110617,10
06.10.2020,10:00:00,110275,115230,108003,108960,28
06.10.2020,10:01:00,114925,114925,108235,111663,47
06.10.2020,10:02:00,114583,115286,108275,112856,86
06.10.2020,10:03:00,111031,115095,107926,114135,91
06.10.2020,10:04:00,113923,115230,108005,110650,97
06.10.2020,10:05:00,113854,115171,107945,109471,40
06.10.2020,10:06:00,110986,115252,107993,114285,7
06.10.2020,10:07:00,112387,115279,108040,109740,3
06.10.2020,10:08:00,113750,115191,108189,114103,25
06.10.2020,10:09:00,111753,115208,107900,111020,63
06.10.2020,10:10:00,114157,115239,108062,110764,90
06.10.2020,10:11:00,114224,114997,108049,113157,82
06.10.2020,10:12:00,111894,115264,107953,115121,87
06.10.2020,10:13:00,113109,115175,108062,108795,14
06.10.2020,10:14:00,113917,115286,108032,115190,35
06.10.2020,10:15:00,114048,115270,108211,108891,90
06.10.2020,10:16:00,111124,115195,107916,113659,26
06.10.2020,10:17:00,114051,115289,108022,112740,90
06.10.2020,10:18:00,109483,115252,107923,114022,57
06.10.2020,10:19:00,113498,115252,107938,109250,60
06.10.2020,10:20:00,113264,115215,108122,110322,42
06.10.2020,10:21:00,112085,115286,107940,113123,77
06.10.2020,10:22:00,109791,115181,107911,113154,21
06.10.2020,10:23:00,114503,115250,107909,111332,81
06.10.2020,10:24:00,108179,115280,107991,109818,76
06.10.2020,10:25:00,112322,114699,108115,110586,81
06.10.2020,10:26:00,112852,115200,107911,110317,32
06.10.2020,10:27:00,111061,114620,108162,110655,55
06.10.2020,10:28:00,110614,115215,108026,110753,52
06.10.2020,10:29:00,115117,115127,107904,114894,30
06.10.2020,10:30:00,109997,115152,108011,108503,47
06.10.2020,10:31:00,108520,115237,108110,109769,69
06.10.2020,10:32:00,108420,115128,107964,110282,21
06.10.2020,10:33:00,112115,114943,108014,109229,3
06.10.2020,10:34:00,109560,115246,107954,110195,46
06.10.2020,10:35:00,115227,115292,107948,114632,2
06.10.2020,10:36:00,112546,115064,108236,114276,80
06.10.2020,10:37:00,112076,115243,107960,110613,89
06.10.2020,10:38:00,110453,115295,108232,114758,53
06.10.2020,10:39:00,109363,115251,108064,108122,18
06.10.2020,10:40:00,114355,115198,107981,111097,22
06.10.2020,10:41:00,109614,115016,108416,111850,96
06.10.2020,10:42:00,114469,115243,107941,110278,84
06.10.2020,10:43:00,108241,114958,108151,109648,64
06.10.2020,10:44:00,111341,114996,107978,110457,97
06.10.2020,10:45:00,108659,115121,108335,113357,51
06.10.2020,10:46:00,113480,115268,107956,109077,81
06.10.2020,10:47:00,108933,115254,107975,113284,54
06.10.2020,10:48:00,114028,115278,108020,114152,19
06.10.2020,10:49:00,109557,114995,108249,111153,72
06.10.2020,10:50:00,110142,115151,107947,109735,69
06.10.2020,10:51:00,111380,115220,107935,113383,22
06.10.2020,10:52:00,114531,115272,108151,109724,42
06.10.2020,10:53:00,113184,115210,107948,111741,97
06.10.2020,10:54:00,111397,115093,108084,110164,13
06.10.2020,10:55:00,111419,115238,108279,115238,88
06.10.2020,10:56:00,114845,115202,107972,110548,25
06.10.2020,10:57:00,108781,115023,107921,111946,57
06.10.2020,10:58:00,114412,115060,107960,111452,21
06.10.2020,10:59:00,108611,115143,108026,109975,22
06.10.2020,11:00:00,112909,115111,107921,108254,1
06.10.2020,11:01:00,111921,115187,107904,109998,62
06.10.2020,11:02:00,112094,115271,107964,113696,17
06.10.2020,11:03:00,114143,115284,108039,108039,61
06.10.2020,11:04:00,108145,115139,107969,108463,61
06.10.2020,11:05:00,111602,115294,107940,113406,17
06.10.2020,11:06:00,112356,115277,108251,111624,50
06.10.2020,11:07:00,108847,115284,108044,112348,19
06.10.2020,11:08:00,111666,114652,107903,114621,46
06.10.2020,11:09:00,113973,115164,108006,113325,32
06.10.2020,11:10:00,108479,114927,108183,109660,3
06.10.2020,11:11:00,108957,115293,108025,108025,80
06.10.2020,11:12:00,111315,115267,107997,109508,48
06.10.2020,11:13:00,114522,115214,107909,114101,44
06.10.2020,11:14:00,110097,115137,108047,111467,74
06.10.2020,11:15:00,109578,115142,107916,111861,56
06.10.2020,11:16:00,108586,115204,107968,109494,8
06.10.2020,11:17:00,110262,115256,107991,111180,56
06.10.2020,11:18:00,109528,115078,107970,108475,55
06.10.2020,11:19:00,109376,115125,107995,109017,65
06.10.2020,11:20:00,112294,115259,108020,112415,78
06.10.2020,11:21:00,113456,115259,107966,111599,66
06.10.2020,11:22:00,107970,115193,107970,111165,74
06.10.2020,11:23:00,111142,115292,107935,109755,88
06.10.2020,11:24:00,115172,115172,107942,110289,3
06.10.2020,11:25:00,109475,115244,107902,110821,45
06.10.2020,11:26:00,113745,114885,108279,110673,93
06.10.2020,11:27:00,110475,115162,108247,110537,28
06.10.2020,11:28:00,114164,115153,107998,110585,98
06.10.2020,11:29:00,114261,115246,108133,113917,47
06.10.2020,11:30:00,112696,115005,107903,108056,19
06.10.2020,11:31:00,109881,114399,108007,109111,5
06.10.2020,11:32:00,111638,115296,107922,110995,27
06.10.2020,11:33:00,110629,114983,108072,110381,42
06.10.2020,11:34:00,114967,115297,108004,112616,30
06.10.2020,11:36:00,110561,115239,107938,108798,46
06.10.2020,11:37:00,115093,115157,108143,111029,28
06.10.2020,11:38:00,112100,115233,107969,113527,74
06.10.2020,11:39:00,108035,115285,108035,113189,90
06.10.2020,11:40:00,114241,115292,107956,114833,4
06.10.2020,11:41:00,114597,115113,108065,112980,76
06.10.2020,11:42:00,108645,115249,108074,113995,94
06.10.2020,11:43:00,113096,115267,108102,111812,96
06.10.2020,11:44:00,112514,114969,108044,108044,10
06.10.2020,11:45:00,110659,115229,108205,112255,89
06.10.2020,11:46:00,113794,115181,107909,113005,21
06.10.2020,11:47:00,109319,115177,108022,108022,57
06.10.2020,11:48:00,111992,115191,108238,114441,81
06.10.2020,11:49:00,115216,115216,108035,115203,26
06.10.2020,11:50:00,114160,115275,107905,112397,61
06.10.2020,11:51:00,108848,115293,108153,114473,98
06.10.2020,11:52:00,111654,115247,107917,111648,5
06.10.2020,11:53:00,109055,115259,107917,112818,27
06.10.2020,11:54:00,109987,115236,107949,113023,26
06.10.2020,11:55:00,110379,115197,107924,110159,26
06.10.2020,11:56:00,114036,115178,108302,115074,75
06.10.2020,11:57:00,114071,114793,107987,109663,91
06.10.2020,11:58:00,111873,115242,107978,110670,6
06.10.2020,11:59:00,108735,114827,108314,109535,44
06.10.2020,12:00:00,113976,115277,107917,111785,30
06.10.2020,12:01:00,111336,115275,108127,112611,92
06.10.2020,12:02:00,112520,115241,107941,115066,79
06.10.2020,12:03:00,112649,115278,108041,111965,52
06.10.2020,12:04:00,111933,115297,108059,113568,87
06.10.2020,12:05:00,112615,115288,108009,110174,87
06.10.2020,12:06:00,109125,114919,108030,111338,32
06.10.2020,12:07:00,111757,115044,107938,113787,19
06.10.2020,12:08:00,111095,115239,108065,113579,24
06.10.2020,12:09:00,113750,115225,107956,108656,32
06.10.2020,12:10:00,114399,115297,107910,113265,1
06.10.2020,12:11:00,109692,115044,107900,114456,20
06.10.2020,12:12:00,110077,115040,108040,113610,70
06.10.2020,12:13:00,110695,115052,108192,110097,80
06.10.2020,12:14:00,112142,115030,108148,109031,97
06.10.2020,12:15:00,108286,115044,107956,114688,75
06.10.2020,12:16:00,114241,115297,108214,108614,46
06.10.2020,12:17:00,109703,115165,107972,107992,45
06.10.2020,12:18:00,109184,115267,107995,114501,35
06.10.2020,12:19:00,109295,115278,107900,111211,18
06.10.2020,12:20:00,112305,114978,108072,108375,29
06.10.2020,12:21:00,115175,115260,107901,115196,84
06.10.2020,12:22:00,112862,114721,108031,108343,29
06.10.2020,12:23:00,108714,115086,107901,112230,94
06.10.2020,12:24:00,113701,115254,107911,114664,57
06.10.2020,12:25:00,110726,115193,108024,114104,10
06.10.2020,12:26:00,112719,115258,107914,110326,83
06.10.2020,12:27:00,113791,115158,107915,111436,64
06.10.2020,12:28:00,114296,115157,107949,112946,50
06.10.2020,12:29:00,114898,115215,107976,113670,13
06.10.2020,12:30:00,113156,115285,107937,111285,43
06.10.2020,12:31:00,110598,114912,108165,114719,12
06.10.2020,12:32:00,108882,115094,107910,109796,82
06.10.2020,12:33:00,108152,115283,107917,110191,11
06.10.2020,12:34:00,113862,115139,108214,109677,49
06.10.2020,12:35:00,108790,115225,108120,108930,32
06.10.2020,12:36:00,112365,115299,108314,110079,97
06.10.2020,12:37:00,111588,115208,108236,112343,16
06.10.2020,12:38:00,114438,115075,107910,109124,47
06.10.2020,12:39:00,109675,115238,107911,115176,97
06.10.2020,12:40:00,113362,115066,108149,112156,75
06.10.2020,12:41:00,109243,114688,107959,111384,19
06.10.2020,12:42:00,108535,115193,108188,115053,18
06.10.2020,12:43:00,108639,115287,108073,109093,32
06.10.2020,12:44:00,113717,115203,108102,111098,36
06.10.2020,12:45:00,110978,115085,107951,110960,84
06.10.2020,12:46:00,109431,115250,108014,110852,25
06.10.2020,12:47:00,108935,115222,108126,108356,35
06.10.2020,12:48:00,113371,115243,107998,110611,55
06.10.2020,12:49:00,108820,115112,108043,110451,8
06.10.2020,12:50:00,113821,115280,108000,111038,2
06.10.2020,12:51:00,113503,115290,107945,108359,47
06.10.2020,12:52:00,113028,115015,108000,112278,65
06.10.2020,12:53:00,112286,115258,108286,113996,89
06.10.2020,12:54:00,111940,115247,107953,112334,94
06.10.2020,12:55:00,111878,115225,107968,108091,5
06.10.2020,12:56:00,110866,115295,108189,109731,64
06.10.2020,12:57:00,112239,115236,107948,113406,75
06.10.2020,12:58:00,109153,115061,108140,112432,73
06.10.2020,12:59:00,108334,115278,108286,108866,28
06.10.2020,13:00:00,108081,114879,107935,111314,25
06.10.2020,13:01:00,109926,115237,107919,109693,17
06.10.2020,13:02:00,108743,115286,107965,113349,82
06.10.2020,13:03:00,115150,115209,107927,114309,63
06.10.2020,13:04:00,108865,115085,107948,111220,33
06.10.2020,13:05:00,111907,115177,108384,108397,26
06.10.2020,13:06:00,112602,115128,108075,109359,62
06.10.2020,13:07:00,109510,115260,108466,111546,73
06.10.2020,13:08:00,112027,115236,108045,115001,66
06.10.2020,13:09:00,111580,115164,107902,112371,42
06.10.2020,13:10:00,109317,115254,108053,111357,70
06.10.2020,13:11:00,111432,115184,108199,109663,47
06.10.2020,13:12:00,111096,115041,108000,109898,83
06.10.2020,13:13:00,111177,114959,108029,110464,69
06.10.2020,13:14:00,113854,114858,108073,110487,9
06.10.2020,13:15:00,113122,115276,107909,111186,94
06.10.2020,13:16:00,111974,115229,108012,112554,30
06.10.2020,13:17:00,109666,115253,108008,112367,12
06.10.2020,13:18:00,113305,115267,108028,108945,5
06.10.2020,13:19:00,108487,115080,108191,113037,80
06.10.2020,13:20:00,109543,115220,107915,114707,67
06.10.2020,13:21:00,109453,115141,108025,111101,16
06.10.2020,13:22:00,108913,115291,108045,112029,37
06.10.2020,13:23:00,109434,115296,107997,113944,16
06.10.2020,13:24:00,108603,115180,107913,108763,66
06.10.2020,13:25:00,110070,114797,108275,108654,45
06.10.2020,13:26:00,109019,115011,107960,113307,35
06.10.2020,13:27:00,109936,115292,107934,112186,78
06.10.2020,13:28:00,112988,115278,108252,112173,19
06.10.2020,13:29:00,112262,115016,107974,114954,13
06.10.2020,13:30:00,115082,115106,108019,108843,55
06.10.2020,13:31:00,113366,115158,107964,115158,77
06.10.2020,13:32:00,113245,115289,108058,113755,92
06.10.2020,13:33:00,113758,115176,107923,107966,60
06.10.2020,13:34:00,110089,115216,107955,114295,19
06.10.2020,13:35:00,109674,115264,107987,112573,4
06.10.2020,13:36:00,113911,115218,107927,114537,18
06.10.2020,13:37:00,114382,115249,107960,113877,85
06.10.2020,13:38:00,112270,115143,107902,114343,29
06.10.2020,13:39:00,111149,115133,108094,114962,36
06.10.2020,13:40:00,113940,115236,107928,114323,29
06.10.2020,13:41:00,113885,115282,107927,114557,33
06.10.2020,13:42:00,108035,115259,107935,110555,13
06.10.2020,13:43:00,113668,115041,107907,114305,60
06.10.2020,13:44:00,114791,115221,107914,110310,79
06.10.2020,13:45:00,110940,115128,107907,110468,89
06.10.2020,13:46:00,108453,115000,108031,111086,1
06.10.2020,13:47:00,111269,115110,108092,112993,59
06.10.2020,13:48:00,111087,115096,108117,112440,47
06.10.2020,13:49:00,110589,115274,108126,113770,27
06.10.2020,13:50:00,115109,115282,108030,113237,76
06.10.2020,13:51:00,111917,115170,108009,108641,30
06.10.2020,13:52:00,114582,115263,107908,113284,91
06.10.2020,13:53:00,112047,115165,108121,111023,36
06.10.2020,13:54:00,113813,115239,108031,109043,89
06.10.2020,13:55:00,107936,115141,107936,109905,84
06.10.2020,13:56:00,110311,115292,107915,113955,3
06.10.2020,13:57:00,109726,115222,108107,108579,70
06.10.2020,13:58:00,111189,115197,108040,110594,19
06.10.2020,13:59:00,114966,115221,108042,108042,68
06.10.2020,14:00:00,114084,115133,107946,110188,26
06.10.2020,14:01:00,111060,115095,108046,108046,7
06.10.2020,14:02:00,113577,115022,108110,108110,65
06.10.2020,14:03:00,114349,115175,107961,112336,6
06.10.2020,14:04:00,110590,115197,108029,110490,54
06.10.2020,14:05:00,115280,115296,107927,112527,5
06.10.2020,14:06:00,114394,114826,107910,108097,29
06.10.2020,14:07:00,113243,115198,107931,112429,72
06.10.2020,14:08:00,109311,115268,107948,112217,56
06.10.2020,14:09:00,109189,115253,107976,113136,23
06.10.2020,14:10:00,107974,115292,107974,110653,24
06.10.2020,14:11:00,109891,115195,107901,114874,22
